staff_id,first_name,last_name,store_id,address_id,email,manager_id,hired_date,last_update
1,Giovanna,Barkholz,5,10512,giovanna.barkholz@wheelie.com,1,2019-08-29,2022-08-03 09:50:09
2,Viktor,Soukup,2,36222,viktor.soukup@wheelie.com,2,2016-08-25,2022-08-03 09:50:09
3,Christine,Kreusel,8,37167,christine.kreusel@wheelie.com,3,2016-06-24,2022-08-03 09:50:09
4,Cornelia,Holzapfel-Aumann,13,23814,cornelia.holzapfel-aumann@wheelie.com,4,2017-05-11,2022-08-03 09:50:09
5,Miłosz,Berg,9,23344,milosz.berg@wheelie.com,5,2019-09-12,2022-08-03 09:50:09
6,Samir,Langern,12,22404,samir.langern@wheelie.com,6,2016-01-09,2022-08-03 09:50:09
7,Zbyněk,Vlček,3,10048,zbynek.vlcek@wheelie.com,7,2017-01-23,2022-08-03 09:50:09
8,Franciszek,Taczała,14,24301,franciszek.taczala@wheelie.com,8,2020-11-07,2022-08-03 09:50:09
9,Ludwina,Koch,7,22874,ludwina.koch@wheelie.com,9,2021-04-23,2022-08-03 09:50:09
10,Elly,Adolph,11,37666,elly.adolph@wheelie.com,10,2021-04-13,2022-08-03 09:50:09
11,Růžena,Veselá,7,22873,ruzena.vesela@wheelie.com,9,2021-04-06,2022-08-03 09:50:09
12,Marcin,Czosnyka,9,23345,marcin.czosnyka@wheelie.com,5,2021-06-27,2022-08-03 09:50:09
13,Charles,Oderwald,1,8586,charles.oderwald@wheelie.com,13,2020-07-03,2022-08-03 09:50:09
14,František,Říha,10,9054,frantisek.riha@wheelie.com,14,2017-12-01,2022-08-03 09:50:09
15,Tomasz,Dziadowicz,15,38150,tomasz.dziadowicz@wheelie.com,15,2017-04-14,2022-08-03 09:50:09
16,Vendula,Novotná,14,24302,vendula.novotna@wheelie.com,8,2016-01-10,2022-08-03 09:50:09
17,Igor,Urban,2,36223,igor.urban@wheelie.com,2,2016-12-20,2022-08-03 09:50:09
18,Annaliese,Seifert MBA.,4,36686,annaliese.seifert mba.@wheelie.com,18,2019-09-23,2022-08-03 09:50:09
19,Pavel,Kříž,2,36224,pavel.kriz@wheelie.com,2,2019-07-19,2022-08-03 09:50:09
20,Dorota,Heß,6,9551,dorota.hess@wheelie.com,20,2021-02-06,2022-08-03 09:50:09
21,Friedrich,Hamann,5,10513,friedrich.hamann@wheelie.com,1,2022-05-05,2022-08-03 09:50:09
22,Dipl,Ekrem Holzapfel,15,38151,ekrem.holzapfel@wheelie.com,15,2019-01-17,2022-08-03 09:50:09
23,Sebastiano,Bonbach,5,10515,sebastiano.bonbach@wheelie.com,1,2017-02-09,2022-08-03 09:50:09
24,Irena,Růžičková,15,38152,irena.ruzickova@wheelie.com,15,2022-05-08,2022-08-03 09:50:09
25,Radek,Fiala,7,22872,radek.fiala@wheelie.com,9,2022-06-15,2022-08-03 09:50:09
26,Lidwina,Stumpf,3,10044,lidwina.stumpf@wheelie.com,7,2021-06-15,2022-08-03 09:50:09
27,Lili,Geißler,13,23815,lili.geissler@wheelie.com,4,2020-09-11,2022-08-03 09:50:09
28,Konstanty,Wojtyna,4,36687,konstanty.wojtyna@wheelie.com,18,2016-12-01,2022-08-03 09:50:09
29,Gertraude,Stiffel-Gude,12,22405,gertraude.stiffel-gude@wheelie.com,6,2022-03-14,2022-08-03 09:50:09
30,Kristýna,Mašková,11,37667,kristyna.maskova@wheelie.com,10,2016-05-19,2022-08-03 09:50:09
31,Ewelina,Delekta,6,9557,ewelina.delekta@wheelie.com,20,2021-08-20,2022-08-03 09:50:09
32,Nicole,Paczos,10,9055,nicole.paczos@wheelie.com,14,2016-02-03,2022-08-03 09:50:09
33,Aleks,Bieniak,12,22406,aleks.bieniak@wheelie.com,6,2021-10-04,2022-08-03 09:50:09
34,Jaromír,Pokorný,13,23816,jaromir.pokorny@wheelie.com,4,2017-07-18,2022-08-03 09:50:09
35,Mariusz,Dzienisz,1,8587,mariusz.dzienisz@wheelie.com,13,2021-03-22,2022-08-03 09:50:09
36,Dušan,Procházka,3,10045,dusan.prochazka@wheelie.com,7,2019-08-08,2022-08-03 09:50:09
37,Hubert,Ryfa,4,36689,hubert.ryfa@wheelie.com,18,2017-09-15,2022-08-03 09:50:09
38,Viviane,Hertrampf,3,10046,viviane.hertrampf@wheelie.com,7,2018-06-11,2022-08-03 09:50:09
39,Matěj,Fiala,5,10514,matej.fiala@wheelie.com,1,2019-05-12,2022-08-03 09:50:09
40,Justyna,Zdonek,1,8589,justyna.zdonek@wheelie.com,13,2020-11-05,2022-08-03 09:50:09
41,Goran,Bärer,6,9552,goran.barer@wheelie.com,20,2019-12-31,2022-08-03 09:50:09
42,Alice,Štěpánková,15,24304,alice.stepankova@wheelie.com,15,2022-05-12,2022-08-03 09:50:09
43,Anna,Fialová,2,36225,anna.fialova@wheelie.com,2,2019-05-13,2022-08-03 09:50:09
44,Ida,Bejnarowicz,10,9056,ida.bejnarowicz@wheelie.com,14,2020-09-21,2022-08-03 09:50:09
45,Šárka,Krejčová,9,23346,sarka.krejcova@wheelie.com,5,2017-12-24,2022-08-03 09:50:09
46,Andrew,Carsten,8,37168,andrew.carsten@wheelie.com,3,2022-04-25,2022-08-03 09:50:09
47,Igor,Machowiak,14,24303,igor.machowiak@wheelie.com,8,2016-04-29,2022-08-03 09:50:09
48,Gabriel,Janiga,13,23817,gabriel.janiga@wheelie.com,4,2019-11-12,2022-08-03 09:50:09
49,Brita,Bloch-Meyer,8,37170,brita.bloch-meyer@wheelie.com,3,2016-06-06,2022-08-03 09:50:09
50,Marten,Wilmsen,8,37171,marten.wilmsen@wheelie.com,3,2020-04-04,2022-08-03 09:50:09
51,Marian,Soukup,11,37668,marian.soukup@wheelie.com,10,2019-01-20,2022-08-03 09:50:09
52,Saskia,Binner,6,9553,saskia.binner@wheelie.com,20,2019-03-15,2022-08-03 09:50:09
